# darshan log version: 3.41
# compression method: ZLIB
# exe: ../write_3d_nc4 checkpoint_2 64 8 8 16 16 16
# uid: 73528
# jobid: 12235617
# start_time: 1757990689
# start_time_asci: Mon Sep 15 21:44:49 2025
# end_time: 1757990697
# end_time_asci: Mon Sep 15 21:44:57 2025
# nprocs: 64
# run time: 8.2963
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 378 bytes (compressed)
# record table: 6391 bytes (compressed)
# POSIX module: 14600 bytes (compressed), ver=4
# MPI-IO module: 7778 bytes (compressed), ver=3
# LUSTRE module: 7591 bytes (compressed), ver=1
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 1238307 bytes (compressed), ver=1
# DXT_MPIIO module: 22764 bytes (compressed), ver=2
# HEATMAP module: 7657 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/local/slurmjobs/12216042	xfs
# mount entry:	/local/slurmjobs/12216044	xfs
# mount entry:	/local/slurmjobs/12216045	xfs
# mount entry:	/local/slurmjobs/12216043	xfs
# mount entry:	/local/slurmjobs/12216047	xfs
# mount entry:	/local/slurmjobs/12216046	xfs
# mount entry:	/local/slurmjobs/12234480	xfs
# mount entry:	/local/slurmjobs/12234484	xfs
# mount entry:	/local/slurmjobs/12234481	xfs
# mount entry:	/local/slurmjobs/12234479	xfs
# mount entry:	/local/slurmjobs/12234483	xfs
# mount entry:	/local/slurmjobs/12234482	xfs
# mount entry:	/local/slurmjobs/12234962	xfs
# mount entry:	/local/slurmjobs/12235066	xfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/run/cxi/cxi0	fuse
# mount entry:	/opt/cray/pe	nfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/work/nvme	lustre
# mount entry:	/projects	lustre
# mount entry:	/scratch	lustre
# mount entry:	/local	xfs
# mount entry:	/taiga	lustre
# mount entry:	/work	lustre
# mount entry:	/dev	devtmpfs
# mount entry:	/ime	fuse
# mount entry:	/tmp	xfs
# mount entry:	/sw	nfs
# mount entry:	/u	nfs

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS,MMAPS,SYNCS,FILENOS,DUPS are types of operations.
#   POSIX_RENAME_SOURCES/TARGETS: total count file was source or target of a rename operation
#   POSIX_RENAMED_FROM: Darshan record ID of the first rename source, if file was a rename target
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

# WARNING: POSIX_OPENS counter includes both POSIX_FILENOS and POSIX_DUPS counts

# WARNING: POSIX counters related to file offsets may be incorrect if a file is simultaneously accessed by both POSIX and STDIO (e.g., using fileno())
# 	- Affected counters include: MAX_BYTE_{READ|WRITTEN}, CONSEC_{READS|WRITES}, SEQ_{READS|WRITES}, {MEM|FILE}_NOT_ALIGNED, STRIDE*_STRIDE

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
POSIX	0	17688600418247459339	POSIX_OPENS	1	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_FILENOS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_DUPS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_READS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_WRITES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_SEEKS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_STATS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_MMAPS	-1	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_FSYNCS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_FDSYNCS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_RENAME_SOURCES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_RENAME_TARGETS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_RENAMED_FROM	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_MODE	420	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_BYTES_READ	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_BYTES_WRITTEN	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_MAX_BYTE_READ	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_MAX_BYTE_WRITTEN	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_CONSEC_READS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_CONSEC_WRITES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_SEQ_READS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_SEQ_WRITES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_RW_SWITCHES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_MEM_NOT_ALIGNED	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_MEM_ALIGNMENT	8	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_FILE_NOT_ALIGNED	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
POSIX	0	17688600418247459339	POSIX_FILE_ALIGNMENT	1048576	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_checkpoint/checkpoint_2.nc4.locktest.0	/work	lustre
