# darshan log version: 3.41
# compression method: ZLIB
# exe: ../write_3d_nc4 combined_ckpt3 32 32 16 32 32 32
# uid: 73528
# jobid: 12235671
# start_time: 1757991373
# start_time_asci: Mon Sep 15 21:56:13 2025
# end_time: 1757991491
# end_time_asci: Mon Sep 15 21:58:11 2025
# nprocs: 64
# run time: 117.3278
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 367 bytes (compressed)
# record table: 6477 bytes (compressed)
# POSIX module: 13723 bytes (compressed), ver=4
# MPI-IO module: 7696 bytes (compressed), ver=3
# LUSTRE module: 4201 bytes (compressed), ver=1
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 432769 bytes (compressed), ver=1
# DXT_MPIIO module: 287875 bytes (compressed), ver=2
# HEATMAP module: 5834 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/local/slurmjobs/12206753	xfs
# mount entry:	/local/slurmjobs/12208482	xfs
# mount entry:	/local/slurmjobs/12215277	xfs
# mount entry:	/local/slurmjobs/12216543	xfs
# mount entry:	/local/slurmjobs/12217524	xfs
# mount entry:	/local/slurmjobs/12217552	xfs
# mount entry:	/local/slurmjobs/12218388	xfs
# mount entry:	/local/slurmjobs/12220806	xfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/run/cxi/cxi0	fuse
# mount entry:	/opt/cray/pe	nfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/work/nvme	lustre
# mount entry:	/projects	lustre
# mount entry:	/scratch	lustre
# mount entry:	/local	xfs
# mount entry:	/taiga	lustre
# mount entry:	/work	lustre
# mount entry:	/dev	devtmpfs
# mount entry:	/ime	fuse
# mount entry:	/tmp	xfs
# mount entry:	/sw	nfs
# mount entry:	/u	nfs

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS,MMAPS,SYNCS,FILENOS,DUPS are types of operations.
#   POSIX_RENAME_SOURCES/TARGETS: total count file was source or target of a rename operation
#   POSIX_RENAMED_FROM: Darshan record ID of the first rename source, if file was a rename target
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

# WARNING: POSIX_OPENS counter includes both POSIX_FILENOS and POSIX_DUPS counts

# WARNING: POSIX counters related to file offsets may be incorrect if a file is simultaneously accessed by both POSIX and STDIO (e.g., using fileno())
# 	- Affected counters include: MAX_BYTE_{READ|WRITTEN}, CONSEC_{READS|WRITES}, SEQ_{READS|WRITES}, {MEM|FILE}_NOT_ALIGNED, STRIDE*_STRIDE

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
POSIX	0	5159131363050728233	POSIX_OPENS	1	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_FILENOS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_DUPS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_READS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_WRITES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_SEEKS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_STATS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_MMAPS	-1	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_FSYNCS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_FDSYNCS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_RENAME_SOURCES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_RENAME_TARGETS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_RENAMED_FROM	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_MODE	420	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_BYTES_READ	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_BYTES_WRITTEN	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_MAX_BYTE_READ	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_MAX_BYTE_WRITTEN	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_CONSEC_READS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_CONSEC_WRITES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_SEQ_READS	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_SEQ_WRITES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_RW_SWITCHES	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_MEM_NOT_ALIGNED	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_MEM_ALIGNMENT	8	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
POSIX	0	5159131363050728233	POSIX_FILE_NOT_ALIGNED	0	/work/hdd/bdau/mbanisharifdehkordi/E2E/3d/results_combined/combined_ckpt3.nc4.locktest.0	/work	lustre
